Title;Release Year;Locations;Fun Facts;Production Company;Distributor;Director;Writer;Actor 1;Actor 2;Actor 3
Forrest Gump;1994;Palace of Fine Arts (3301 Lyon Street);The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965.;Paramount Pictures;Paramount Pictures;Robert Zemeckis;Eric Roth;Tom Hanks;Robin Wright;
Getting Even with Dad;1994;California & Grant Streets;;Metro-Goldwyn-Mayer (MGM);Metro-Goldwyn-Mayer (MGM);Howard Dutch;Tom S. Parker;Macaulay Culkin;Ted Danson;
Getting Even with Dad;1994;War Memorial Building (401 Van Ness Avenue);;Metro-Goldwyn-Mayer (MGM);Metro-Goldwyn-Mayer (MGM);Howard Deutch;Tom S. Parker;Macaulay Culkin;Ted Danson;
Getting Even with Dad;1994;Transbay Terminal (Mission Street at 1st Street);Built in 1939, the Terminal linked San Francisco, the East Bay, and Sacramento by rail for the first time.;Metro-Goldwyn-Mayer (MGM);Metro-Goldwyn-Mayer (MGM);Howard Deutch;Tom S. Parker;Macaulay Culkin;Ted Danson;
Getting Even with Dad;1994;140 Maiden Lane;;Metro-Goldwyn-Mayer (MGM);Metro-Goldwyn-Mayer (MGM);Howard Deutch;Tom S. Parker;Macaulay Culkin;Ted Danson;
Getting Even with Dad;1994;St. Peter & Paul's Church (666 Filbert Street, Washington Square);Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials.;Metro-Goldwyn-Mayer (MGM);Metro-Goldwyn-Mayer (MGM);Howard Deutch;Tom S. Parker;Macaulay Culkin;Ted Danson;
Getting Even with Dad;1994;Neiman Marcus (150 Stockton Street, Union Square);The City of Paris department store previously occupied the space that now houses Neiman Marcus. City of Paris' original rotunda and glass dome were incorporated into Neiman Marcus' design.;Metro-Goldwyn-Mayer (MGM);Metro-Goldwyn-Mayer (MGM);Howard Deutch;Tom S. Parker;Macaulay Culkin;Ted Danson;
Getting Even with Dad;1994;Mason Street at Jackson;;Metro-Goldwyn-Mayer (MGM);Metro-Goldwyn-Mayer (MGM);Howard Deutch;Tom S. Parker;Macaulay Culkin;Ted Danson;
Getting Even with Dad;1994;M.H. de Young Memorial Museum (Golden Gate Park);;Metro-Goldwyn-Mayer (MGM);Metro-Goldwyn-Mayer (MGM);Howard Deutch;Tom S. Parker;Macaulay Culkin;Ted Danson;
Getting Even with Dad;1994;Embarcadero Street Station- BART;;Metro-Goldwyn-Mayer (MGM);Metro-Goldwyn-Mayer (MGM);Howard Deutch;Tom S. Parker;Macaulay Culkin;Ted Danson;
Getting Even with Dad;1994;Candlestick Park (602 Jamestown Ave.);Then Vice President Richard Nixon threw out the first pitch when Candlestick opened in 1960. On August 29, 1966, The Beatles played their last concert for paying fans at Candlestick Park.;Metro-Goldwyn-Mayer (MGM);Metro-Goldwyn-Mayer (MGM);Howard Deutch;Tom S. Parker;Macaulay Culkin;Ted Danson;
Golden Gate;1994;Ross Alley (Chinatown);Ross Alley is the oldest alley in San Francisco.;American Playhouse Theatrical Films;The Samuel Goldwyn Company;John Madden;David Henry Hwang;Matt Dillon;Joan Chen;
Golden Gate;1994;University of California Hastings College of the Law;;Metro-Goldwyn-Mayer (MGM);Metro-Goldwyn-Mayer (MGM);Howard Deutch;David Henry Hwang;Matt Dillon;Joan Chen;
Golden Gate;1994;Bush Street (between Grant & Kearny Streets);;American Playhouse Theatrical Films;The Samuel Goldwyn Company;John Madden;David Henry Hwang;Matt Dillon;Joan Chen;
Golden Gate;1994;Buena Vista Park (Haight Street at Buena Vista);Established in 1867, Buena Vista Park is the oldest official park in San Francisco.;American Playhouse Theatrical Films;The Samuel Goldwyn Company;John Madden;David Henry Hwang;Matt Dillon;Joan Chen;
Golden Gate;1994;Golden Gate Bridge;With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.;American Playhouse Theatrical Films;The Samuel Goldwyn Company;John Madden;David Henry Hwang;Matt Dillon;Joan Chen;
Interview With The Vampire;1994;Ferry Building;Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.;Geffen Pictures;Geffen Pictures;Neil Jordan;Anne Rice;Brad Pitt;Christian Slater;Tom Cruise
Interview With The Vampire;1994;Golden Gate Bridge;With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.;Geffen Pictures;Geffen Pictures;Neil Jordan;Anne Rice;Brad Pitt;Christian Slater;Tom Cruise
Interview With The Vampire;1994;100 Market Street at 6th Street;;Geffen Pictures;Geffen Pictures;Neil Jordan;Anne Rice;Brad Pitt;Christian Slater;Tom Cruise
Interview With The Vampire;1994;6th Street On-ramp to Highway 280;;Geffen Pictures;Geffen Pictures;Neil Jordan;Anne Rice;Brad Pitt;Christian Slater;Tom Cruise
Junior;1994;2552 Hyde Street;;Northern Lights Entertainment;Universal Pictures;Ivan Reitman;Kevin Wade;Arnold Schwarzenegger;Danny DeVito;Emma Thompson
Junior;1994;United Nations Plaza (Civic Center);United Nations Plaza was built in 1975 and across its walkways are white lines into which the preamble to the preamble of the UN charter is carved.;Northern Lights Entertainment;Universal Pictures;Ivan Reitman;Kevin Wade;Arnold Schwarzenegger;Danny DeVito;Emma Thompson
Junior;1994;Postcard Row (Alamo Square, Hayes Valley);The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.;Northern Lights Entertainment;Universal Pictures;Ivan Reitman;Kevin Wade;Arnold Schwarzenegger;Danny DeVito;Emma Thompson
Junior;1994;Hyatt Fisherman's Wharf (555 Northpoint Street);;Northern Lights Entertainment;Universal Pictures;Ivan Reitman;Kevin Wade;Arnold Schwarzenegger;Danny DeVito;Emma Thompson
Junior;1994;Fairmont Hotel (950 Mason Street, Nob Hill);;Northern Lights Entertainment;Universal Pictures;Ivan Reitman;Kevin Wade;Arnold Schwarzenegger;Danny DeVito;Emma Thompson
Junior;1994;Chinatown Gate;Designed in 1970, the Chinatown Gate (aka the Dragon Gate) is based on ceremonial gates found in Chinese villages.;Northern Lights Entertainment;Universal Pictures;Ivan Reitman;Kevin Wade;Arnold Schwarzenegger;Danny DeVito;Emma Thompson
Junior;1994;722 Steiner Street;;Northern Lights Entertainment;Universal Pictures;Ivan Reitman;Kevin Wade;Arnold Schwarzenegger;Danny DeVito;Emma Thompson
Nina Takes a Lover;1994;;;Alan Jacobs Productions;Columbia TriStar Home Video;Alan Jacobs;Alan Jacobs;Laura San Giacomo;Paul Rhys;
When a Man Loves a Woman;1994;Buena Vista Café (2765 Hyde Street);;Touchstone Pictures;Buena Vista Pictures;Luis Mandoki;Ronald Bass;Andy Garcia;Meg Ryan;
When a Man Loves a Woman;1994;Victor's Restaurant, The Westin St. Francis Hotel (335 Powell Street);The hotel was originally supposed to be named the Crocker Hotel, after Charles Founder the railroad magnate who founded it. However, the hotel took the name the St. Francis after one of the earliest Gold Rush hotels.;Touchstone Pictures;Buena Vista Pictures;Luis Mandoki;Ronald Bass;Andy Garcia;Meg Ryan;
When a Man Loves a Woman;1994;Spring Valley School (1451 Jackson Street);;Touchstone Pictures;Buena Vista Pictures;Luis Mandoki;Ronald Bass;Andy Garcia;Meg Ryan;
When a Man Loves a Woman;1994;International Studies Academy (993 Vermont Street, Potrero Hill);;Touchstone Pictures;Buena Vista Pictures;Luis Mandoki;Ronald Bass;Andy Garcia;Meg Ryan;
When a Man Loves a Woman;1994;Grant Street at Pacific Avenue;;Touchstone Pictures;Buena Vista Pictures;Luis Mandoki;Ronald Bass;Andy Garcia;Meg Ryan;
When a Man Loves a Woman;1994;Cybelle's Pizza (1000 Bush Street);;Touchstone Pictures;Buena Vista Pictures;Luis Mandoki;Ronald Bass;Andy Garcia;Meg Ryan;
When a Man Loves a Woman;1994;766 Vallejo Street at Stockton Street (North Beach);;Touchstone Pictures;Buena Vista Pictures;Luis Mandoki;Ronald Bass;Andy Garcia;Meg Ryan;
When a Man Loves a Woman;1994;1521 Masonic Avenue at Piedmont Street;;Touchstone Pictures;Buena Vista Pictures;Luis Mandoki;Ronald Bass;Andy Garcia;Meg Ryan;
Copycat;1995;Treasure Island;An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.;Regency Enterprises;Warner Bros. Pictures;Jon Amiel;Ann Biderman;Sigourney Weaver;Holly Hunter;
Copycat;1995;Twin Peaks;"The 2nd highest point in SF after Mt. Davidson, Twin Peaks sit at the geographic center of SF. The native Ohlone people called the area “Los Pechos de la Chola” or ""Breasts of the Indian Maiden,"" but in the 19th Century when America took over the area, it was renamed ""Twin Peaks"".";Regency Enterprises;Warner Bros. Pictures;Jon Amiel;Ann Biderman;Sigourney Weaver;Holly Hunter;
Copycat;1995;Sound Factory (1st and Harrison Streets);;Regency Enterprises;Warner Bros. Pictures;Jon Amiel;Ann Biderman;Sigourney Weaver;Holly Hunter;
Copycat;1995;Java House (Pier 40, Embarcadero);;Regency Enterprises;Warner Bros. Pictures;Jon Amiel;Ann Biderman;Sigourney Weaver;Holly Hunter;
Copycat;1995;Alta Plaza Park;The park was originally a rock quarry and served as a campground for many survivors of the 1906 earthquake. The site was converted to a park in 1910.;Regency Enterprises;Warner Bros. Pictures;Jon Amiel;Ann Biderman;Sigourney Weaver;Holly Hunter;
Copycat;1995;82 & 67 Rico Way (Marina District);;Regency Enterprises;Warner Bros. Pictures;Jon Amiel;Ann Biderman;Sigourney Weaver;Holly Hunter;
Jade;1995;Japanese Tea Garden (Hagiwara Tea Garden Drive, Golden Gate Park);"The Japanese Hagiwara family invented ""Chinese"" fortune cookies in the tea-garden";Paramount Pictures;Paramount Pictures;William Friedkin;Joe Eszterhas;David Caruso;Linda Fiorentino;Chazz Palminteri
Jade;1995;Fior d' Italia (601 Union Street at Stockton);;Paramount Pictures;Paramount Pictures;William Friedkin;Joe Eszterhas;David Caruso;Linda Fiorentino;Chazz Palminteri
Jade;1995;Fairmont Hotel (950 Mason Street, Nob Hill);In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.;Paramount Pictures;Paramount Pictures;William Friedkin;Joe Eszterhas;David Caruso;Linda Fiorentino;Chazz Palminteri
Jade;1995;Lombard & Hyde Streets;;Paramount Pictures;Paramount Pictures;William Friedkin;Joe Eszterhas;David Caruso;Linda Fiorentino;Chazz Palminteri
Jade;1995;Hall of Justice (850 Bryant Street);;Paramount Pictures;Paramount Pictures;William Friedkin;Joe Eszterhas;David Caruso;Linda Fiorentino;Chazz Palminteri
Jade;1995;Washington Square (North Beach);Washington Square Park is not actually a square, as it has 5 sides. North Beach is not a beach.;Paramount Pictures;Paramount Pictures;William Friedkin;Joe Eszterhas;David Caruso;Linda Fiorentino;Chazz Palminteri
Jade;1995;War Memorial Opera House (401 Van Ness Avenue);In 1945 the United Nations had its first conference at The War Memorial Opera House.;Paramount Pictures;Paramount Pictures;William Friedkin;Joe Eszterhas;David Caruso;Linda Fiorentino;Chazz Palminteri
Jade;1995;Sheraton Palace Hotel (639 Market Street);The hotel was destroyed in the 1906 earthquake and fire, had to be rebuilt, and was reopened in 1909.;Paramount Pictures;Paramount Pictures;William Friedkin;Joe Eszterhas;David Caruso;Linda Fiorentino;Chazz Palminteri
Jade;1995;Palace of Fine Arts;The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965.;Paramount Pictures;Paramount Pictures;William Friedkin;Joe Eszterhas;David Caruso;Linda Fiorentino;Chazz Palminteri
Nine Months;1995;The Malloch Apartment Building (1360 Montgomery Street);;1492 Pictures;Twentieth Century Fox Film Corp.;Chris Columbus;Chris Columbus;Hugh Grant;Julianne Moore;Robin Williams
Nine Months;1995;Wasteland Store (1600 Haight Street);;1492 Pictures;Twentieth Century Fox Film Corp.;Chris Columbus;Chris Columbus;Hugh Grant;Julianne Moore;Robin Williams
Nine Months;1995;Star's Café (55 Golden Gate Avenue at Van Ness);;1492 Pictures;Twentieth Century Fox Film Corp.;Chris Columbus;Chris Columbus;Hugh Grant;Julianne Moore;Robin Williams
Nine Months;1995;St. Peter & Paul's Church (666 Filbert Street, Washington Square);Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials.;1492 Pictures;Twentieth Century Fox Film Corp.;Chris Columbus;Chris Columbus;Hugh Grant;Julianne Moore;Robin Williams
Nine Months;1995;San Francisco General Hospital Medical Center (1001 Potrero Avenue, Potrero Hill);SF General Hospital is the only Level I Trauma Center serving San Francisco and northern San Mateo County.;1492 Pictures;Twentieth Century Fox Film Corp.;Chris Columbus;Chris Columbus;Hugh Grant;Julianne Moore;Robin Williams
Nine Months;1995;Pierce Street between Pacific & Green Streets;;1492 Pictures;Twentieth Century Fox Film Corp.;Chris Columbus;Chris Columbus;Hugh Grant;Julianne Moore;Robin Williams
Nine Months;1995;Montgomery & Vallejo Streets;;1492 Pictures;Twentieth Century Fox Film Corp.;Chris Columbus;Chris Columbus;Hugh Grant;Julianne Moore;Robin Williams
Nine Months;1995;Marathon Plaza (303 2nd Street);;1492 Pictures;Twentieth Century Fox Film Corp.;Chris Columbus;Chris Columbus;Hugh Grant;Julianne Moore;Robin Williams
Nine Months;1995;Jones Street at Bush;;1492 Pictures;Twentieth Century Fox Film Corp.;Chris Columbus;Chris Columbus;Hugh Grant;Julianne Moore;Robin Williams
Nine Months;1995;Jack Kerouac Alley between Columbus & Grant Streets;;1492 Pictures;Twentieth Century Fox Film Corp.;Chris Columbus;Chris Columbus;Hugh Grant;Julianne Moore;Robin Williams
Nine Months;1995;Chrissy Field;Chrissy Field was originally an airfield for the Presidio Army Base.;1492 Pictures;Twentieth Century Fox Film Corp.;Chris Columbus;Chris Columbus;Hugh Grant;Julianne Moore;Robin Williams
Nine Months;1995;Belli Building (722 Montgomery Street at Washington);;1492 Pictures;Twentieth Century Fox Film Corp.;Chris Columbus;Chris Columbus;Hugh Grant;Julianne Moore;Robin Williams
Nine Months;1995;Alamo Square;;1492 Pictures;Twentieth Century Fox Film Corp.;Chris Columbus;Chris Columbus;Hugh Grant;Julianne Moore;Robin Williams
Nine Months;1995;60 Spear Street;;1492 Pictures;Twentieth Century Fox Film Corp.;Chris Columbus;Chris Columbus;Hugh Grant;Julianne Moore;Robin Williams
Nine Months;1995;101 Henry Adams Place, 4th Floor;;1492 Pictures;Twentieth Century Fox Film Corp.;Chris Columbus;Chris Columbus;Hugh Grant;Julianne Moore;Robin Williams
Panther;1995;;;Gramercy Pictures;PolyGram Video;Mario Van Peebles;Mario Van Peebles;Kadeem Hardison;Bookeem Woodbine;
The Net;1995;Moscone Convention Center;;Columbia Pictures Corp.;Columbia Pictures;Irwin Winkler;John Brancato;Sandra Bullock;Jeremy Northam;
The Net;1995;Montgomery & Market Streets;;Columbia Pictures Corp.;Columbia Pictures;Irwin Winkler;John Brancato;Sandra Bullock;Jeremy Northam;
Down Periscope;1996;;;Twentieth Century Fox Film Corp.;Twentieth Century Fox Film Corp.;David S. Ward;Hugh Wilson;Kelsey Grammar;Lauren Holly;
Dream for an Insomniac;1996;Baker Beach;From 1986-1990, the north end of Baker Beach was home to the Burning Man festival.;Triton Productions;Columbia TriStar Home Video;Tiffanie DeBartolo;Tiffanie DeBartolo;Ione Skye;Jennifer Aniston;
Dream for an Insomniac;1996;Elbo Room (647 Valencia Street);"This location is called the ""Café Blue Eyes"" in the film.";Triton Productions;Columbia TriStar Home Video;Tiffanie DeBartolo;Tiffanie DeBartolo;Ione Skye;Jennifer Aniston;
Happy Gilmore;1996;;;Brillstein-Grey Entertainment;Universal Pictures;Dennis Dugan;Tim Herlihy;Adam Sandler;;
Homeward Bound II: Lost in San Francisco;1996;Pier 39 (Fisherman's Wharf);;Walt Disney Pictures;Buena Vista Pictures;David R. Ellis;Sheila Burnford;Michael J. Fox;Sally Field;
Jack;1996;;;American Zoetrope;Buena Vista Pictures;Francis Ford Coppola;James DeMonaco;Robin Williams;Diane Lane;
James and the Giant Peach;1996;;;Skellington Productions;Walt Disney Studios Home Entertainment;Henry Selick;Karey Kirkpatrick;Richard Dreyfuss;Jane Leeves;
Mother;1996;Golden Gate Bridge;With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.;Paramount Pictures;Paramount Pictures;Albert Brooks;Albert Brooks;Albert Brooks;Debbie Reynolds;
Mother;1996;Fairmont Hotel (950 Mason Street, Nob Hill);In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.;Paramount Pictures;Paramount Pictures;Albert Brooks;Albert Brooks;Albert Brooks;Debbie Reynolds;
Phenomenon;1996;Treasure Island;An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.;Touchstone Pictures;Buena Vista Pictures;Jon Turteltaub;Gerald Dipego;John Travolta;Kyra Sedgwick;
The Fan;1996;Candlestick Park (602 Jamestown Ave.);Then Vice President Richard Nixon threw out the first pitch when Candlestick opened in 1960. On August 29, 1966, The Beatles played their last concert for paying fans at Candlestick Park.;Mandalay Entertainment;Columbia TriStar;Tony Scott;Phoef Sutton;Robert De Niro;Wesley Snipes;
The Rock;1996;Palace of Fine Arts (3301 Lyon Street);The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965.;Hollywood Pictures;Buena Vista Pictures;Michael Bay;David Weisberg;Sean Connery;Nicolas Cage;
